,gen_title,title,model_answer_main_query,bing_return,model_ans_1,model_ans_2,model_ans_3,neural_ans1_list,neural_ans1_prob,neural_ans2_list,neural_ans2_prob,neural_ans3_list,neural_ans3_prob,neural_ans4_list,neural_ans4_prob
10,"Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals",Continuous mathematics: Topology,"

1. ""Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals""
2. ""Continuous Mathematics: Topology, Differentiation and Differential Equations""
3. ""Introduction to Topology and Continuous Mathematics""
4. ""Continuous Mathematics: An Introduction""
5. ""Advanced Topics in Continuous Mathematics: Topology and Differential Equations""",False," Roussos Dimitrakopoulos, Ioannis Antoniou, Faso Manos"," Marcelo Aguiar, Stephen Gelbart, John Baez, Lou van den Dries"," David A. Sadler, John P. Mayes","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 25% JUSTIFICATION: There is only one author name that appears in both lists (John).']",0.08333333333333333,"['\n\nYes', '\n\nYes', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nNo']",0.9,"['\nNo', '\nNo', '\nNo.', '\nNo', '\nNo.', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nNo', '\n\nYes', ' \n\nNo.', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",0.8
11,"Continuous Mathematics: Topology, Differentiation and Differential Equations",Continuous mathematics: Topology,"

1. ""Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals""
2. ""Continuous Mathematics: Topology, Differentiation and Differential Equations""
3. ""Introduction to Topology and Continuous Mathematics""
4. ""Continuous Mathematics: An Introduction""
5. ""Advanced Topics in Continuous Mathematics: Topology and Differential Equations""",False," C.J. Bradley, J.O. Rasmussen"," John B Atten, William G McCallum, Stanley O Wesner"," John Edgar, Chris B. Allen, Rama Lingam, Dennis R. Glasser","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The first list is a list of authors, but the second list is not.', ' 0 JUSTIFICATION: There are no authors in common between the two lists.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
12,Introduction to Topology and Continuous Mathematics,Continuous mathematics: Topology,"

1. ""Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals""
2. ""Continuous Mathematics: Topology, Differentiation and Differential Equations""
3. ""Introduction to Topology and Continuous Mathematics""
4. ""Continuous Mathematics: An Introduction""
5. ""Advanced Topics in Continuous Mathematics: Topology and Differential Equations""",False," George C. Kinnamon, Ain D. Legiste, Edwin Foster, Paul Fraleigh"," RobertB Bartle, Donald R Sherbert"," Edwin L. Spanier, Clinton Casad Page","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nYes', '\n\nNo', '\n\nNo']",0.1,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes']",1.0
13,Continuous Mathematics: An Introduction,Continuous mathematics: Topology,"

1. ""Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals""
2. ""Continuous Mathematics: Topology, Differentiation and Differential Equations""
3. ""Introduction to Topology and Continuous Mathematics""
4. ""Continuous Mathematics: An Introduction""
5. ""Advanced Topics in Continuous Mathematics: Topology and Differential Equations""",False," Joseph Gerver, Alexander Sossinsky"," Carlo Ciliberto, Ernesto Cioffi, Alberto Flamini, Claudio Vernizzi"," Mickens, Robert E., Stewart, Robert H., Jr.","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
14,Advanced Topics in Continuous Mathematics: Topology and Differential Equations,Continuous mathematics: Topology,"

1. ""Continuous Mathematics: Symmetry, Instruments, Representations and Fundamentals""
2. ""Continuous Mathematics: Topology, Differentiation and Differential Equations""
3. ""Introduction to Topology and Continuous Mathematics""
4. ""Continuous Mathematics: An Introduction""
5. ""Advanced Topics in Continuous Mathematics: Topology and Differential Equations""",False," Kenechi Edoh-Younga, C. George Petrich, Matsuzo Wakayama"," Mohammad A. Khamsi, Willard Miller"," Josef Fucik, Ivo Babuska, Jan Stara","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes.', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes']",1.0
15,Complexity Theory in Cryptology,Computational complexity and cryptography: Cryptographic protocols," 

1. Complexity Theory in Cryptology
2. Cryptographic Complexity of Protocols
3. An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols
4. Computational Complexity of Group-Theoretic Cryptography
5. Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",True," Serge Vaudenay, Jean-Jacques Quisquater"," Sheung Chi Chau, Hong-Yi Wang"," Hristu-Varsakelis, Panos, Zikos, Gerasimos","[' 0 JUSTIFICATION: These are not lists of authors.', ' 0 JUSTIFICATION: Neither of the given inputs are lists of authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo']",0.0,"['\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
16,Cryptographic Complexity of Protocols,Computational complexity and cryptography: Cryptographic protocols," 

1. Complexity Theory in Cryptology
2. Cryptographic Complexity of Protocols
3. An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols
4. Computational Complexity of Group-Theoretic Cryptography
5. Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",False," Tal Malkin, Ronald Cramer, Ivan Damgård"," Pawel Gawrychowski, Benny Applebaum, Erez Petrank"," Ran Canetti, Jeyavisanachiar Sethumadhavan","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo']",0.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
17,An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols,Computational complexity and cryptography: Cryptographic protocols," 

1. Complexity Theory in Cryptology
2. Cryptographic Complexity of Protocols
3. An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols
4. Computational Complexity of Group-Theoretic Cryptography
5. Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",False," Jeffrey Hoffstein, Jill Pipher, Joseph H. Silverman"," Jeffrey Hoffstein, Jill Pipher, Joseph H. Silverman"," Jeffrey Hoffstein, Jill Pipher, Joseph H. Silverman","[' 100% JUSTIFICATION: The two lists are identical.', ' 100% JUSTIFICATION: The two lists are identical.', ' 100% JUSTIFICATION: The two lists are identical.']",1.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nYes', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.1,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes.', '\n\nYes', '\n\nYes', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes']",1.0
18,Computational Complexity of Group-Theoretic Cryptography,Computational complexity and cryptography: Cryptographic protocols," 

1. Complexity Theory in Cryptology
2. Cryptographic Complexity of Protocols
3. An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols
4. Computational Complexity of Group-Theoretic Cryptography
5. Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",False," Elisa Bertino, Riccardo Focardi, Vincenzo Roselli"," Shai Halevi, Charanjit S. Jutla"," Igor Shparlinski, Jinguo Liu","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nNo', '\n\nYes']",0.9
19,"Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",Computational complexity and cryptography: Cryptographic protocols," 

1. Complexity Theory in Cryptology
2. Cryptographic Complexity of Protocols
3. An Introduction to Mathematical Cryptography: Computational Complexity and Cryptographic Protocols
4. Computational Complexity of Group-Theoretic Cryptography
5. Cryptography, Protocols and Algorithms: A Guide to Complexity Theory",False," Roberto De Prisco, Mariangiola Dezani-Ciancaglini, Philip A.G. Sestoft"," Gustavus J. Simmons, Stephen Sprague"," Ross Anderson, Rachel Greenstadt, Steve Kuhlmann","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', ' \nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo']",0.0
20,A Generic Software Organization Model for Contextual Software Domains,Software organization and properties: Contextual software domains,"

1. A Generic Software Organization Model for Contextual Software Domains 
2. Systematic Analysis of Software Organizations for Heterogeneous Contexts 
3. The Relation Between Software Organization and Properties 
4. Establishing an Appropriate System Organization for Contextual Software Domains 
5. Representing Contextual Software Domain Organization: A Model-Driven Approach",False," Luiz Fernando Capretz, Carlos Antonio Paranhos Junior"," Maria-Luisa Damiani, Franco Fraternali"," Ademar Aguiar, JosÃ© Cunha, TÃ¢nia Rocha","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\nNo', '\n\nYes', ' No', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",0.8
21,Systematic Analysis of Software Organizations for Heterogeneous Contexts,Software organization and properties: Contextual software domains,"

1. A Generic Software Organization Model for Contextual Software Domains 
2. Systematic Analysis of Software Organizations for Heterogeneous Contexts 
3. The Relation Between Software Organization and Properties 
4. Establishing an Appropriate System Organization for Contextual Software Domains 
5. Representing Contextual Software Domain Organization: A Model-Driven Approach",False," Jaime Font, Maitreyee Desai, Zafar Iqbal, Josef Widder"," Amal Elgammal, Daniel F. Morgan, Fang Yu, Richard C. Holt"," Imran Ghani, Paul Layzell, Keith Phalp, Saverio Perugini","[' 0 JUSTIFICATION: No overlap in the authors.', ' 0 JUSTIFICATION: None of the authors are the same.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nYes', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nYes', '\n\nNo', '\n\nNo']",0.2,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nNo', '\n\nYes', '\n\nYes', '\n\nYes']",0.9
22,The Relation Between Software Organization and Properties,Software organization and properties: Contextual software domains,"

1. A Generic Software Organization Model for Contextual Software Domains 
2. Systematic Analysis of Software Organizations for Heterogeneous Contexts 
3. The Relation Between Software Organization and Properties 
4. Establishing an Appropriate System Organization for Contextual Software Domains 
5. Representing Contextual Software Domain Organization: A Model-Driven Approach",False," Uwe Zdun, Eric Knauss, Andreas Oberweis"," Emad Shihab, Steve Counsell"," Jacopo Poli, Emilio Sulis, Davide Taibi","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists contain no overlapping authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo']",0.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', ' \nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes.']",1.0
