gen_title,search_url,label(H/G)
E-Learning and the Science of Instruction: Proven Guidelines for Consumers and Designers of Multimedia Learning,"https://www.google.com/search?q=%22E-Learning+and+the+Science+of+Instruction:+Proven+Guidelines+for+Consumers+and+Designers+of+Multimedia+Learning%22&tbs=cdr:1,cd_max:09/30/2021",G
"Exploring Network Components: Switches, Hubs and Logical Nodes","https://www.google.com/search?q=%22Exploring+Network+Components:+Switches,+Hubs+and+Logical+Nodes%22&tbs=cdr:1,cd_max:09/30/2021",H
A Mathematical Theory of Communication,"https://www.google.com/search?q=%22A+Mathematical+Theory+of+Communication%22&tbs=cdr:1,cd_max:09/30/2021",G
Designing Interactive Systems for Collaborative and Social Computing: Principles and Practices,"https://www.google.com/search?q=%22Designing+Interactive+Systems+for+Collaborative+and+Social+Computing:+Principles+and+Practices%22&tbs=cdr:1,cd_max:09/30/2021",H
Evaluating the Accessibility of Online Resources: A User-Centered Approach,"https://www.google.com/search?q=%22Evaluating+the+Accessibility+of+Online+Resources:+A+User-Centered+Approach%22&tbs=cdr:1,cd_max:09/30/2021",H
The Art of Software Security Assessment: Identifying and Preventing Software Vulnerabilities,"https://www.google.com/search?q=%22The+Art+of+Software+Security+Assessment:+Identifying+and+Preventing+Software+Vulnerabilities%22&tbs=cdr:1,cd_max:09/30/2021",G
"Design Reuse in Product Development Modeling, Analysis and Optimization","https://www.google.com/search?q=%22Design+Reuse+in+Product+Development+Modeling,+Analysis+and+Optimization%22&tbs=cdr:1,cd_max:09/30/2021",G
Nodes and Network Components in Communication Systems,"https://www.google.com/search?q=%22Nodes+and+Network+Components+in+Communication+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Structural Bioinformatics: An Algorithmic Approach,"https://www.google.com/search?q=%22Structural+Bioinformatics:+An+Algorithmic+Approach%22&tbs=cdr:1,cd_max:09/30/2021",G
Forensic Discovery,"https://www.google.com/search?q=%22Forensic+Discovery%22&tbs=cdr:1,cd_max:09/30/2021",G
Self-Organizing Communication in Ad Hoc Networking,"https://www.google.com/search?q=%22Self-Organizing+Communication+in+Ad+Hoc+Networking%22&tbs=cdr:1,cd_max:09/30/2021",H
Parallel Algorithms for Matrix Computations,"https://www.google.com/search?q=%22Parallel+Algorithms+for+Matrix+Computations%22&tbs=cdr:1,cd_max:09/30/2021",G
OAuth 2.0: A Framework for Secure and Scalable Authorization,"https://www.google.com/search?q=%22OAuth+2.0:+A+Framework+for+Secure+and+Scalable+Authorization%22&tbs=cdr:1,cd_max:09/30/2021",H
Privacy-Preserving Attribute-Based Access Control in Cloud Computing,"https://www.google.com/search?q=%22Privacy-Preserving+Attribute-Based+Access+Control+in+Cloud+Computing%22&tbs=cdr:1,cd_max:09/30/2021",H
Self-Stabilization in Networked Control Systems,"https://www.google.com/search?q=%22Self-Stabilization+in+Networked+Control+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Digital Trade Rules and Big Tech: The WTO's role in regulating online power,"https://www.google.com/search?q=%22Digital+Trade+Rules+and+Big+Tech:+The+WTO's+role+in+regulating+online+power%22&tbs=cdr:1,cd_max:09/30/2021",H
Wireless Network Infrastructure: A Comprehensive Study of Components and Applications,"https://www.google.com/search?q=%22Wireless+Network+Infrastructure:+A+Comprehensive+Study+of+Components+and+Applications%22&tbs=cdr:1,cd_max:09/30/2021",H
Experimental Evaluation of Cross-Platform Mobile Development Tools,"https://www.google.com/search?q=%22Experimental+Evaluation+of+Cross-Platform+Mobile+Development+Tools%22&tbs=cdr:1,cd_max:09/30/2021",H
A Comparative Analysis of Enterprise Computing Reference Models,"https://www.google.com/search?q=%22A+Comparative+Analysis+of+Enterprise+Computing+Reference+Models%22&tbs=cdr:1,cd_max:09/30/2021",H
Network Security Through Firewalls: Concepts and Configuration,"https://www.google.com/search?q=%22Network+Security+Through+Firewalls:+Concepts+and+Configuration%22&tbs=cdr:1,cd_max:09/30/2021",H
The Web Application Hacker's Handbook: Discovering and Exploiting Security Flaws,"https://www.google.com/search?q=%22The+Web+Application+Hacker's+Handbook:+Discovering+and+Exploiting+Security+Flaws%22&tbs=cdr:1,cd_max:09/30/2021",G
Learning to Rank for Information Retrieval: A Practical Overview,"https://www.google.com/search?q=%22Learning+to+Rank+for+Information+Retrieval:+A+Practical+Overview%22&tbs=cdr:1,cd_max:09/30/2021",H
3D Modeling and Shape Analysis: The Mathematics of Surfaces,"https://www.google.com/search?q=%223D+Modeling+and+Shape+Analysis:+The+Mathematics+of+Surfaces%22&tbs=cdr:1,cd_max:09/30/2021",H
"Handbook of Formal Languages, Volume 1: Word, Language, Grammar","https://www.google.com/search?q=%22Handbook+of+Formal+Languages,+Volume+1:+Word,+Language,+Grammar%22&tbs=cdr:1,cd_max:09/30/2021",G
Energy-Efficient Cyber-Physical Systems: Challenges and Opportunities in Sensor Networks and IoT,"https://www.google.com/search?q=%22Energy-Efficient+Cyber-Physical+Systems:+Challenges+and+Opportunities+in+Sensor+Networks+and+IoT%22&tbs=cdr:1,cd_max:09/30/2021",H
